,xpos,ypos,J,Ks,J-Ks,Per (days),A (mag),prob,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,Selected_Z,alpha
0,649.102,266.481,22.76,22.21,0.5500000000000007,92,0.758,61.57,-0.15036000000000005,0.7073591895934047,10.27698,18922564750.07405,5.7088855585303095,511547.0193980463,0.001,2.3
1,579.266,356.438,22.48,21.85,0.629999999999999,219,1.096,41.95,-0.08179999999999998,0.8283235329759174,10.0697,11740862447.09675,5.514371995069569,326867.6909180016,0.001,2.3
2,775.775,569.576,21.880000000000003,21.669999999999998,0.2100000000000044,89,0.936,57.51,-0.06199999999999972,0.8669618757582171,10.021999999999998,10519618738.232191,5.211793854684204,162852.2842884528,0.003,2.3
3,204.386,427.624,24.110000000000003,21.631824999999996,1.6,105,0.693,62.66,-0.0578007499999994,0.8753853012045038,10.011883624999998,10277408643.501703,5.22076234148777,166250.2631833229,0.003,2.3
4,256.48,86.847,22.130000000000003,21.38,0.7500000000000036,282,0.757,50.94,-0.030099999999999794,0.93303943579109,9.950829999999998,8929558771.413073,5.297617153914753,198434.48752819776,0.003,2.3
5,889.962,684.094,22.16,21.38,0.7800000000000011,213,0.607,53.52,-0.030099999999999794,0.93303943579109,9.950829999999998,8929558771.413073,5.297617153914753,198434.48752819776,0.003,2.3
6,731.358,506.045,23.82,21.325562499999997,1.6,225,1.315,36.21,-0.02411187499999956,0.9459934404503453,9.938146062499998,8672535025.71198,5.317472965840082,207717.44206524873,0.003,2.3
7,121.917,845.695,22.82,21.3,1.5199999999999996,191,0.427,45.13,-0.021299999999999986,0.9521382230214032,9.932189999999999,8554408788.60522,5.327126396396639,212386.24977276224,0.003,2.3
8,773.927,576.531,21.93,21.2,0.7300000000000004,308,0.726,51.53,-0.010299999999999754,0.976562402499495,9.90889,8107556801.117134,5.366884463658407,232747.19926671352,0.003,2.3
9,198.408,281.172,22.42,21.13,1.2900000000000027,188,0.364,38.59,-0.0025999999999998247,0.9940311634657779,9.892579999999999,7808722688.780496,5.396565640630042,249210.10067522083,0.003,2.3
10,715.893,492.961,23.080000000000002,21.11,1.9700000000000024,165,1.206,43.02,-0.0003999999999998449,0.9990793899844621,9.88792,7725382651.805013,5.432787060608604,270886.31206549,0.006,2.3
11,351.475,586.85,21.69,21.06,0.6300000000000026,181,0.401,43.29,0.0051000000000002155,1.011812405855589,9.876269999999998,7520903217.338352,5.458785860425543,287597.9992409146,0.006,2.3
12,17.627,422.046,22.360000000000003,21.06,1.3000000000000043,403,0.779,51.11,0.0051000000000002155,1.011812405855589,9.876269999999998,7520903217.338352,5.458785860425543,287597.9992409146,0.006,2.3
13,811.716,705.519,22.380000000000003,21.05,1.3300000000000018,180,0.408,44.11,0.006200000000000094,1.0143784167147654,9.87394,7480661442.145829,5.464034753005054,291095.0048067755,0.006,2.3
14,823.415,300.274,22.32,21.05,1.2699999999999996,193,0.474,48.91,0.006200000000000094,1.0143784167147654,9.87394,7480661442.145829,5.464034753005054,291095.0048067755,0.006,2.3
