Field,[RMS2003],xpos,ypos,Per (days),A,Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_solar) ,jks_001,log_t,age_001 (years),delta_t (years)
F1,10375,623.502,566.5,138,0.684,24.01,23.7,22.91,72.43,-0.26,0.55,1.2,10.62,42062054329,1132201
F1,9271,482.027,808.044,120,0.644,24.36,23.13,22.82,76.81,-0.24,0.57,1.64,10.57,36780348506,990115
F1,7432,709.054,98.738,83,1.133,24.03,22.75,22.8,57.51,-0.24,0.58,1.33,10.55,35699811255,961054
F1,7608,695.119,51.824,71,1.197,24.2,23.57,22.6,47.61,-0.2,0.63,1.7,10.42,26495170585,713753
F1,5333,389.254,296.955,268,1.41,24.3,22.83,22.59,28.92,-0.2,0.64,1.81,10.42,26103080337,703238
F1,7740,751.847,22.71,114,0.806,24.03,99.99,22.57,67.75,-0.19,0.64,1.56,10.4,25336221082,682680
F1,8319,28.685,532.373,136,0.612,23.76,22.94,22.54,76.69,-0.19,0.65,1.32,10.38,24227966249,652991
F1,6710,858.503,549.942,86,1.02,23.09,23.58,22.53,61.68,-0.18,0.66,0.66,10.38,23869427350,643392
F1,8575,455.378,425.579,236,0.871,23.71,22.93,22.49,49.46,-0.17,0.67,1.32,10.35,22487550933,606434
F1,7098,567.725,655.871,85,0.85,23.69,23.11,22.46,69.95,-0.17,0.68,1.33,10.33,21503902388,580168
F1,6514,521.932,816.652,105,0.695,23.84,23.3,22.35,75.84,-0.15,0.71,1.59,10.26,18251254456,493704
F1,7219,394.372,341.06,84,0.54,23.36,22.18,22.31,81.75,-0.14,0.73,1.15,10.24,17194631783,465812
F1,5906,513.17,810.87,207,0.746,23.43,22.33,22.11,61.38,-0.1,0.8,1.42,10.11,12761263610,351106
F1,6480,845.449,630.594,225,0.803,23.41,22.43,22.1,55.63,-0.1,0.8,1.41,10.1,12572415344,346362
F1,5123,572.458,659.62,70,0.948,23.64,23.08,22.1,64.12,-0.1,0.8,1.64,10.1,12572415344,346362
F1,5340,346.614,200.477,152,0.868,24.56,22.69,22.3,57.49,-0.1,0.8,1.3,10.1,12562006101,346101
F1,3545,899.173,0.91,149,0.257,23.6,99.99,22.07,53.1,-0.09,0.81,1.63,10.08,12022473819,332650
F1,4980,388.986,69.78,85,0.453,23.17,22.7,22.02,79.11,-0.08,0.83,1.25,10.05,11158839729,311501
F1,6733,475.878,385.235,567,1.147,23.51,23.23,21.99,13.47,-0.07,0.85,1.62,10.03,10670730709,299805
F1,5266,714.185,407.121,133,0.484,23.14,21.99,21.97,79.1,-0.07,0.85,1.27,10.02,10357244772,292412
F1,4919,813.52,332.95,252,0.655,22.94,22.37,21.97,67.2,-0.07,0.85,1.07,10.02,10357244772,292412
F1,5225,97.012,404.027,116,0.486,22.5,22.27,21.96,80.13,-0.07,0.86,0.64,10.01,10203972512,288836
F1,4237,119.598,678.105,270,0.719,23.23,22.44,21.9,61.81,-0.05,0.88,1.43,9.97,9330813736,269026
F1,4052,523.697,838.905,144,0.962,24.46,22.81,22.12,53.07,-0.05,0.88,1.3,9.97,9307656774,268515
F1,4098,103,615.344,89,0.589,23.27,21.65,21.88,81.32,-0.05,0.89,1.49,9.96,9056692031,263042
F1,4712,781.172,313.477,169,0.793,26.58,23.18,22.49,60.83,-0.04,0.92,1.3,9.91,8117020261,243670
F1,4374,806.535,341.542,138,0.356,22.84,21.91,21.75,70.23,-0.02,0.95,1.19,9.87,7460967015,231533
F1,4211,519.771,822.923,574,0.755,22.04,21.71,21.73,24.16,-0.02,0.96,0.41,9.86,7241777880,227814
F1,4795,424.331,-17.963,256,1.59,23.38,23.03,21.72,33.27,-0.02,0.96,1.76,9.85,7134610029,226069
F1,4036,681.597,88.905,166,0.763,24.56,24.1,21.98,63.49,-0.01,0.97,1.3,9.84,6873577599,222036
F1,3586,51.917,654.58,308,0.362,22.74,22.11,21.63,68.98,0,1,1.21,9.8,6238721516,213808
F1,2860,206.907,513.45,172,0.358,22.3,21.85,21.57,68.94,0.01,1.03,0.83,9.76,5704871151,209205
F1,3515,565.427,841.839,178,0.379,23.41,24.46,21.54,70.86,0.02,1.04,1.97,9.74,5455329161,208036
F1,2927,264.14,316.748,458,0.312,22.65,21.67,21.5,51.87,0.03,1.07,1.25,9.7,5051617743,207905
F1,2050,54.552,767.989,418,0.821,23.15,99.99,21.48,46.61,0.03,1.08,1.77,9.69,4894617966,208577
F1,2900,161.874,584.081,456,0.256,22.57,21.62,21.48,43.68,0.03,1.08,1.19,9.69,4894617966,208577
F1,2872,576.165,524.68,125,0.245,22.91,21.52,21.45,50.84,0.04,1.1,1.56,9.67,4668219625,210433
F1,1903,251.772,690.018,226,0.53,22.05,21.87,21.43,73.99,0.04,1.11,0.72,9.66,4523135519,212263
F1,2266,324.743,541.049,303,0.311,22.09,21.4,21.34,62.36,0.06,1.16,0.85,9.59,3924072657,227110
F1,2461,855.807,772.237,193,0.516,24.04,22.38,21.54,75.29,0.08,1.2,1.6,9.55,3547609752,245380
F1,2093,719.435,768.779,248,0.359,22.09,21.33,21.26,67.77,0.08,1.21,0.93,9.54,3458520227,251187
F1,2364,521.966,828.285,244,0.517,21.86,21.51,21.26,74.09,0.08,1.21,0.7,9.54,3458520227,251187
F1,2108,722.411,633.752,180,0.2,22.7,22,21.25,38.34,0.08,1.21,1.55,9.53,3404352168,255057
F1,1806,65.875,646.566,231,0.395,21.92,21.24,21.22,70.95,0.09,1.23,0.8,9.51,3246885398,267969
F1,2014,862.1,33.721,468,0.496,23.1,21.63,21.21,59.66,0.09,1.24,1.99,9.5,3196032007,272731
F1,2015,644.197,327.874,191,0.32,21.84,21.08,21.21,63.31,0.09,1.24,0.73,9.5,3196032007,272731
F1,1851,227.825,255.322,271,0.303,22.4,21.84,21.17,60.59,0.1,1.26,1.33,9.48,3000459437,294266
F1,1840,263.55,751.289,230,0.301,22.09,21.68,21.16,59.84,0.1,1.27,1.03,9.47,2953465621,300311
F1,1649,777.55,813.482,232,0.454,22.1,21.49,21.13,73.88,0.11,1.29,1.07,9.45,2816854404,320171
