Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_039,log_t,age_039 (years),delta_t (years)
F2,12881,649.102,266.481,92,0.758,22.82,22.71,22.37,61.57,-0.56,0.27,0.55,11.94,8.6976E+11,4155445.22
F2,9299,579.266,356.438,219,1.096,22.54,22.89,22.01,41.95,-0.44,0.36,0.63,11.54,3.43881E+11,1650365.07
F2,8837,204.386,427.624,105,0.693,24.17,99.99,22.13,62.66,-0.4,0.4,1.6,11.41,2.54883E+11,1229127.57
F2,6887,775.775,569.576,89,0.936,21.94,23.05,21.83,57.51,-0.38,0.42,0.21,11.33,2.16228E+11,1047078.95
F2,7602,731.358,506.045,225,1.315,23.88,22.93,21.83,36.21,-0.29,0.51,1.6,11.07,1.1648E+11,583804.21
F2,5189,256.48,86.847,282,0.757,22.19,21.58,21.54,50.94,-0.28,0.53,0.75,11.01,1.02395E+11,520008.46
F2,7887,889.962,684.094,213,0.607,22.22,21.25,21.54,53.52,-0.28,0.53,0.78,11.01,1.02395E+11,520008.46
F2,6837,121.917,845.695,191,0.427,22.88,22.37,21.46,45.13,-0.25,0.56,1.52,10.92,83315433817,435000.45
F2,6190,773.927,576.531,308,0.726,21.99,21.78,21.36,51.53,-0.21,0.61,0.73,10.81,64384786513,353251.26
F2,5897,198.408,281.172,188,0.364,22.48,21.79,21.29,38.59,-0.19,0.65,1.29,10.73,53755600785,309281.96
F2,4762,715.893,492.961,165,1.206,23.14,22.01,21.27,43.02,-0.18,0.66,1.97,10.71,51054647264,298445.16
F2,4054,17.627,422.046,403,0.779,22.42,21.95,21.22,51.11,-0.16,0.68,1.3,10.65,44881171039,274376.85
F2,4950,351.475,586.85,181,0.401,21.75,21.11,21.22,43.29,-0.16,0.68,0.63,10.65,44881171039,274376.85
F2,5045,823.415,300.274,193,0.474,22.38,21.18,21.21,48.91,-0.16,0.69,1.27,10.64,43739111833,270052.84
F2,5635,811.716,705.519,180,0.408,22.44,21.89,21.21,44.11,-0.16,0.69,1.33,10.64,43739111833,270052.84
F2,5595,575.631,243.74,205,0.409,22.46,22.42,21.2,42.41,-0.16,0.7,1.36,10.63,42626113794,265884.31
F2,5770,179.661,481.922,185,0.333,22.2,21.21,21.16,34.86,-0.14,0.72,1.14,10.58,38450222741,250705.32
