Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_008,log_t,age_008 (years),delta_t (years),J-Ks,Mass,Kcor_008,age_008,delta_t
F2,12881,649.102,266.481,92,0.758,22.82,22.71,22.37,61.57,-0.23920000000000008,0.58,0.5500000000000007,10.7455096,55655693671.0,9564,0.5500000000000007,0.5765009137698547,22.21,55655693671.14622,9563.986643719363
F2,8837,204.386,427.624,105,0.693,24.17,99.99,22.13,62.66,-0.18014597402597254,0.66,1.6,10.552816313246748,35712175999.0,20686,2.140000000000004,0.6604714146175906,21.631824999999996,35712175999.20789,20686.29028353042
F2,9299,579.266,356.438,219,1.096,22.54,22.89,22.01,41.95,-0.1744000000000001,0.67,0.629999999999999,10.5340672,34203236236.0,22364,0.629999999999999,0.6692679069358425,21.85,34203236235.855106,22364.464838681324
F2,6887,775.775,569.576,89,0.936,21.94,23.05,21.83,57.51,-0.14199999999999946,0.72,0.2100000000000044,10.428345999999998,26813036538.0,34955,0.2100000000000044,0.7211074791829005,21.669999999999998,26813036538.224842,34954.873642148705
F2,7602,731.358,506.045,225,1.315,23.88,22.93,21.83,36.21,-0.12526038961038832,0.75,1.6,10.373724651298698,23644201471.0,44170,2.150000000000002,0.7494447305951238,21.325562499999997,23644201471.30439,44169.73497893318
F2,7887,889.962,684.094,213,0.607,22.22,21.25,21.54,53.52,-0.08979999999999966,0.81,0.7800000000000011,10.258017399999998,18114126654.0,72706,0.7800000000000011,0.8132049246541537,21.38,18114126653.79102,72705.9965817053
F2,5189,256.48,86.847,282,0.757,22.19,21.58,21.54,50.94,-0.08979999999999966,0.81,0.7500000000000036,10.258017399999998,18114126654.0,72706,0.7500000000000036,0.8132049246541537,21.38,18114126653.79102,72705.9965817053
F2,6837,121.917,845.695,191,0.427,22.88,22.37,21.46,45.13,-0.07539999999999991,0.84,1.5199999999999996,10.2110302,16256617972.0,88977,1.5199999999999996,0.8406205448507715,21.3,16256617972.036339,88977.32292955981
F2,6190,773.927,576.531,308,0.726,21.99,21.78,21.36,51.53,-0.057399999999999674,0.88,0.7300000000000004,10.152296199999999,14200256855.0,114342,0.7300000000000004,0.8761934454040553,21.2,14200256855.138853,114342.1461474361
F2,5898,72.087,743.065,244,0.2,23.5,22.24,21.41,13.18,-0.046118051948051075,0.9,1.6,10.115483203506491,13046175111.0,133619,2.1900000000000013,0.8992531091378769,20.8805125,13046175111.18047,133618.62198302193
F2,5897,198.408,281.172,188,0.364,22.48,21.79,21.29,38.59,-0.04479999999999973,0.9,1.2900000000000027,10.111182399999999,12917616887.0,136061,1.2900000000000027,0.9019864220737457,21.13,12917616886.570375,136060.91391509815
F2,4762,715.893,492.961,165,1.206,23.14,22.01,21.27,43.02,-0.04119999999999968,0.91,1.9700000000000024,10.0994356,12572904014.0,142947,1.9700000000000024,0.909494338555296,21.11,12572904013.75827,142946.58564865537
F2,4054,17.627,422.046,403,0.779,22.42,21.95,21.22,51.11,-0.03219999999999956,0.93,1.3000000000000043,10.070068599999999,11750831533.0,161608,1.3000000000000043,0.928538680439702,21.06,11750831532.869232,161607.71481152083
F2,4950,351.475,586.85,181,0.401,21.75,21.11,21.22,43.29,-0.03219999999999956,0.93,0.6300000000000026,10.070068599999999,11750831533.0,161608,0.6300000000000026,0.928538680439702,21.06,11750831532.869232,161607.71481152083
F2,5045,823.415,300.274,193,0.474,22.38,21.18,21.21,48.91,-0.030399999999999983,0.93,1.2699999999999996,10.0641952,11592983026.0,165601,1.2699999999999996,0.9323951375406332,21.05,11592983026.324972,165600.6017544092
F2,5635,811.716,705.519,180,0.408,22.44,21.89,21.21,44.11,-0.030399999999999983,0.93,1.3300000000000018,10.0641952,11592983026.0,165601,1.3300000000000018,0.9323951375406332,21.05,11592983026.324972,165600.6017544092
F2,5595,575.631,243.74,205,0.409,22.46,22.42,21.2,42.41,-0.028599999999999737,0.94,1.360000000000003,10.0583218,11437254893.0,169684,1.360000000000003,0.9362676114879123,21.04,11437254893.215395,169684.12483815625
F2,5770,179.661,481.922,185,0.333,22.2,21.21,21.16,34.86,-0.021399999999999864,0.95,1.1400000000000006,10.0348282,10834982145.0,186957,1.1400000000000006,0.9519190103322857,21.0,10834982145.468275,186957.35836253312
F2,1452,891.524,655.324,170,1.789,20.89,21.65,21.09,43.14,-0.008799999999999919,0.98,-0.09999999999999787,9.9937144,9856311034.0,221058,-0.09999999999999787,0.9799411610955944,20.93,9856311034.073963,221058.06005243026
F2,4272,126.101,446.682,132,0.557,21.32,21.11,21.09,59.21,-0.008799999999999919,0.98,0.33000000000000185,9.9937144,9856311034.0,221058,0.33000000000000185,0.9799411610955944,20.93,9856311034.073963,221058.06005243026
F2,4818,886.928,345.232,222,0.431,22.59,21.79,21.07,43.47,-0.005199999999999871,0.99,1.620000000000001,9.981967599999999,9593290593.0,231772,1.620000000000001,0.9880979539411275,20.91,9593290592.941507,231772.263531639
F2,2722,892.692,803.489,268,0.712,22.05,19.99,21.07,51.67,-0.005199999999999871,0.99,1.0800000000000018,9.981967599999999,9593290593.0,231772,1.0800000000000018,0.9880979539411275,20.91,9593290592.941507,231772.263531639
F2,4394,173.995,551.437,225,0.337,22.68,21.77,21.05,33.34,-0.0016000000000000458,1.0,1.7300000000000004,9.9702208,9337288980.0,242943,1.7300000000000004,0.9963226419544176,20.89,9337288979.869038,242943.00807004052
F2,5060,33.263,194.56,493,0.596,22.05,21.11,21.04,45.46,0.00020000000000020002,1.0,1.110000000000003,9.9643474,9211861506.0,248704,1.110000000000003,1.0004606230728408,20.88,9211861505.522032,248703.8222240693
F2,3864,695.073,132.244,254,0.566,22.41,21.44,21.04,50.31,0.00020000000000020002,1.0,1.4700000000000024,9.9643474,9211861506.0,248704,1.4700000000000024,1.0004606230728408,20.88,9211861505.522032,248703.8222240693
F2,4707,409.992,310.652,301,0.304,21.87,21.09,21.04,28.19,0.00020000000000020002,1.0,0.9300000000000033,9.9643474,9211861506.0,248704,0.9300000000000033,1.0004606230728408,20.88,9211861505.522032,248703.8222240693
F2,4844,790.515,407.132,568,0.619,23.93,23.03,21.37,34.73,0.0027044155844175854,1.01,1.6,9.956175491948045,9040146988.0,256918,2.66,1.0062465759980008,20.546175,9040146988.356237,256917.77045764038
F2,4196,162.064,292.952,135,0.34,21.94,21.19,21.02,38.83,0.0038000000000002476,1.01,1.0200000000000031,9.952600599999998,8966038513.0,260585,1.0200000000000031,1.00878821494927,20.86,8966038512.674372,260584.76877313922
F2,4298,367.091,62.301,240,0.323,22.18,21.32,21.01,31.11,0.005599999999999827,1.01,1.2699999999999996,9.9467272,8845598033.0,266708,1.2699999999999996,1.0129779687601015,20.85,8845598032.791294,266708.25291860953
F2,4869,817.172,410.033,218,0.423,22.48,21.55,21.01,42.96,0.005599999999999827,1.01,1.5700000000000003,9.9467272,8845598033.0,266708,1.5700000000000003,1.0129779687601015,20.85,8845598032.791294,266708.25291860953
F2,4182,728.664,434.58,223,0.2,22.61,21.95,21.0,13.45,0.007400000000000073,1.02,1.7100000000000009,9.9408538,8726775426.0,272956,1.7100000000000009,1.017185123683215,20.84,8726775425.63692,272955.9629203852
F2,4035,590.112,30.28,214,0.341,22.27,21.47,20.99,34.3,0.009200000000000541,1.02,1.3800000000000026,9.934980399999999,8609548958.0,279330,1.3800000000000026,1.0214097519898506,20.83,8609548958.38384,279329.54836469743
F2,4004,359.017,404.042,276,0.292,21.97,20.98,20.99,26.57,0.009200000000000541,1.02,1.0800000000000018,9.934980399999999,8609548958.0,279330,1.0800000000000018,1.0214097519898506,20.83,8609548958.38384,279329.54836469743
F2,3460,661.932,529.525,228,0.457,21.93,20.91,20.99,45.31,0.009200000000000541,1.02,1.0400000000000027,9.934980399999999,8609548958.0,279330,1.0400000000000027,1.0214097519898506,20.83,8609548958.38384,279329.54836469743
F2,4291,124.064,247.886,239,0.34,22.28,21.74,20.98,33.24,0.01100000000000012,1.03,1.4000000000000021,9.929107,8493897190.0,285831,1.4000000000000021,1.0256519262514079,20.82,8493897190.140956,285830.6453043309
