,a,b,K validity range (lower limit),K validity range (upper limit)
0,0.252,9.761,-14.0,-12.0
1,0.423,11.806,-12.0,-11.6
2,0.255,9.858,-11.6,-11.3
3,0.564,13.352,-11.3,-10.9
4,0.179,9.156,-10.9,-10.6
5,0.492,12.473,-10.6,-10.3
6,1.282,20.617,-10.3,-9.9
7,0.677,14.625,-9.9,-9.5
8,0.746,15.281,-9.5,-9.2
9,0.779,15.579,-9.2,-8.9
10,0.716,15.022,-8.9,-8.55
11,0.841,16.087,-8.55,-8.15
12,0.863,16.266,-8.15,-7.61
13,0.21,11.298,-7.61,-7.02
14,0.233,11.463,-7.02,-6.45
15,0.265,11.665,-6.45,-5.94
16,0.647,13.939,-5.94,-4.01
