recno,[RMS2003],FilEp,Kmag,e_Kmag
       1,F1    31,1Ks07,17.38, 0.09
       2,F1    50,1Ks07,18.00, 0.08
       3,F1    51,1Ks07,17.91, 0.04
       4,F1    53,1Ks07,18.01, 0.08
       5,F1    64,1Ks07,18.41, 0.05
       6,F1    69,1Ks07,17.95, 0.13
       7,F1    73,1Ks07,18.47, 0.07
       8,F1    75,1Ks07,18.94, 0.08
       9,F1    76,1Ks07,19.17, 0.08
      10,F1    77,1Ks07,18.79, 0.08
      11,F1    78,1Ks07,18.68, 0.07
      12,F1    84,1Ks07,19.74, 0.10
      13,F1    91,1Ks07,18.56, 0.05
      14,F1   100,1Ks07,18.89, 0.04
      15,F1   101,1Ks07,19.44, 0.16
      16,F1   104,1Ks07,19.19, 0.10
      17,F1   122,1Ks07,19.28, 0.05
      18,F1   129,1Ks07,19.22, 0.04
      19,F1   132,1Ks07,20.44, 0.10
      20,F1   133,1Ks07,19.12, 0.05
      21,F1   135,1Ks07,20.62, 0.11
      22,F1   146,1Ks07,19.37, 0.04
      23,F1   148,1Ks07,     ,
      24,F1   151,1Ks07,19.76, 0.05
      25,F1   155,1Ks07,19.90, 0.06
      26,F1   158,1Ks07,     ,
      27,F1   160,1Ks07,19.59, 0.08
      28,F1   161,1Ks07,19.68, 0.04
      29,F1   164,1Ks07,19.86, 0.05
      30,F1   166,1Ks07,19.75, 0.05
      31,F1   168,1Ks07,19.31, 0.05
      32,F1   170,1Ks07,19.24, 0.04
      33,F1   171,1Ks07,19.23, 0.05
      34,F1   172,1Ks07,20.09, 0.15
      35,F1   173,1Ks07,20.21, 0.05
      36,F1   174,1Ks07,19.90, 0.07
      37,F1   177,1Ks07,19.27, 0.05
      38,F1   178,1Ks07,19.74, 0.06
      39,F1   182,1Ks07,     ,
      40,F1   183,1Ks07,     ,
      41,F1   184,1Ks07,19.26, 0.04
      42,F1   185,1Ks07,19.22, 0.06
      43,F1   188,1Ks07,20.18, 0.12
      44,F1   190,1Ks07,19.95, 0.05
      45,F1   191,1Ks07,19.52, 0.05
      46,F1   193,1Ks07,19.90, 0.04
      47,F1   194,1Ks07,19.44, 0.05
      48,F1   195,1Ks07,19.63, 0.05
      49,F1   197,1Ks07,19.38, 0.05
      50,F1   199,1Ks07,19.72, 0.14
      51,F1   200,1Ks07,19.44, 0.04
      52,F1   201,1Ks07,20.07, 0.04
      53,F1   204,1Ks07,20.01, 0.05
      54,F1   205,1Ks07,19.88, 0.07
      55,F1   206,1Ks07,19.95, 0.05
      56,F1   207,1Ks07,19.66, 0.04
      57,F1   210,1Ks07,19.98, 0.05
      58,F1   213,1Ks07,19.34, 0.05
