Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_008,log_t,age_008 (years),delta_t (years),J-Ks,Mass,Kcor_008,age_008,delta_t
F1,10375,623.502,566.5,138,0.684,24.01,23.7,22.91,72.43,-0.3363999999999998,0.46,1.2000000000000028,11.062673199999999,115524000000.0,3184,1.2000000000000028,0.4608928809808955,22.75,115524261252.56433,3183.8099226056906
F1,9271,482.027,808.044,120,0.644,24.36,23.13,22.82,76.81,-0.32019999999999993,0.48,1.6400000000000006,11.0098126,102285000000.0,3757,1.6400000000000006,0.47840972576468,22.66,102285153205.7462,3757.1167531702094
F1,7432,709.054,98.738,83,1.133,24.03,22.75,22.8,57.51,-0.3166,0.48,1.3300000000000018,10.9980658,99555624275.0,3902,1.3300000000000018,0.48239189243271535,22.64,99555624275.04684,3901.9770310173
F1,7608,695.119,51.824,71,1.197,24.2,23.57,22.6,47.61,-0.28060000000000007,0.52,1.6999999999999993,10.8805978,75962246494.0,5810,1.6999999999999993,0.5240829125640291,22.44,75962246493.5007,5809.94846892636
F1,5333,389.254,296.955,268,1.41,24.3,22.83,22.59,28.92,-0.2787999999999998,0.53,1.8100000000000023,10.8747244,74941848309.0,5932,1.8100000000000023,0.5262595620803183,22.43,74941848308.9799,5932.11762037097
F1,7740,751.847,22.71,114,0.806,24.03,99.99,22.57,67.75,-0.2751999999999999,0.53,1.5600000000000023,10.862977599999999,72941988733.0,6186,1.5600000000000023,0.530640019194775,22.41,72941988733.38754,6185.742402071367
F1,8319,28.685,532.373,136,0.612,23.76,22.94,22.54,76.69,-0.2697999999999997,0.54,1.3200000000000038,10.8453574,70041816376.0,6591,1.3200000000000038,0.5372791656065101,22.38,70041816375.67657,6590.663294134057
F1,6710,858.503,549.942,86,1.02,23.09,23.58,22.53,61.68,-0.268,0.54,0.6600000000000001,10.839484,69100947121.0,6733,0.6600000000000001,0.5395106225151276,22.37,69100947120.62665,6732.5204118166475
F1,8575,455.378,425.579,236,0.871,23.71,22.93,22.49,49.46,-0.2607999999999996,0.55,1.3200000000000038,10.815990399999999,65462170361.0,7337,1.3200000000000038,0.5485295139412036,22.33,65462170361.44478,7336.896231577358
F1,7098,567.725,655.871,85,0.85,23.69,23.11,22.46,69.95,-0.25540000000000007,0.56,1.3300000000000018,10.7983702,62859395468.0,7832,1.3300000000000018,0.55539248624348,22.3,62859395467.93396,7831.835513689155
